,Liczba pokoi,Cena,Cena za m2
2903,3,219.99900000000002,4662.97
2905,5,475.0,4318.18
2906,3,385.825,6100.0
2907,3,210.0,4375.0
2909,3,365.0,4802.63
2916,3,325.0,3651.69
2917,3,210.0,4458.6
2920,3,290.0,4461.54
2924,3,289.0,5452.83
2927,3,324.668,5924.6
2929,3,303.779,5965.81
2932,4,269.0,4138.46
2933,4,320.0,4266.67
2935,3,245.0,3769.23
2936,3,279.0,4359.38
2937,3,255.0,5312.5
2938,4,755.0,5246.7
2941,3,290.0,5415.5
2942,4,338.921,6050.0
2943,3,580.0,6170.21
2954,3,329.0,5061.54
2956,3,308.611,5965.8
2957,3,299.0,4746.03
2960,3,459.0,5810.13
2963,3,348.57199999999995,5900.0
2965,5,699.0,5139.71
2966,3,320.0,5079.37
2970,3,384.395,5994.0
2972,3,289.0,5351.85
2973,3,299.0,5067.8
2979,3,330.0,5500.0
2980,3,279.0,5936.17
2983,3,319.985,6150.01
2988,4,380.0,4755.94
2989,3,270.0,5625.0
2990,3,315.0,4921.88
2991,3,210.0,3888.89
2994,3,401.695,5867.59
2995,3,280.0,4444.44
2999,4,289.0,4225.15
3002,3,374.73,5924.58
3007,3,309.0,4983.87
3010,3,278.0,4633.33
3011,3,308.0,5133.33
3012,3,325.0,4333.33
3013,3,319.0,6018.87
3020,3,305.44,4600.0
3021,3,427.086,5940.0
3023,4,467.651,5724.0
3033,3,326.64799999999997,5600.0
3035,3,330.0,5076.92
3041,3,404.99,5480.24
3047,3,231.041,5660.0
3048,4,304.51599999999996,4955.51
3053,4,305.0,4919.35
3059,5,377.0,5094.59
3060,3,334.06800000000004,6150.0
3061,3,335.0,4745.04
3063,3,330.0,5000.0
3064,4,300.0,3571.43
3066,4,465.0,5950.1
3067,3,330.38800000000003,5490.0
3072,3,255.0,5312.5
3074,3,387.05,6102.0
3079,3,310.0,4843.75
3086,4,611.619,5871.92
3088,4,340.0,4788.73
3093,3,319.0,4915.25
3097,3,299.0,5537.04
3098,4,359.9,3332.41
3104,3,402.0,5982.14
3105,3,415.515,5902.2
3106,3,242.0,4245.61
3111,3,299.0,5537.04
3115,3,355.0,3944.44
3119,3,296.56,5965.8
3120,5,470.0,3615.38
3121,3,409.0,3436.97
3123,4,319.999,4268.93
3124,3,293.778,5700.0
3131,4,349.9,5183.7
3132,3,270.0,4218.75
3134,3,279.0,4982.14
3139,3,357.0,6102.56
3140,3,328.60699999999997,6100.0
3145,3,394.48699999999997,6100.0
3147,3,329.0,5351.33
3148,3,290.0,3555.66
3149,3,265.0,5047.62
3150,4,405.0,5192.31
3151,3,380.0,3877.55
3153,3,350.0,4557.29
3156,3,429.0,5571.43
3158,3,275.0,5851.06
3159,4,409.0,4755.81
3164,3,340.0,5673.29
3165,4,570.0,4672.13
3167,3,369.0,4472.73
3169,3,279.0,5812.5
3170,4,450.0,4411.76
3173,3,405.0,3785.05
3178,3,397.0,4372.25
3179,3,268.693,4312.89
3180,3,334.06800000000004,6150.0
3181,3,247.705,5350.0
3182,4,1000.0,6199.63
3184,3,339.0,6108.11
3190,3,360.0,6122.45
3199,4,349.0,4847.22
3202,3,325.0,5327.87
3207,3,299.233,6050.0
3211,3,280.0,4307.69
3213,3,310.0,4776.58
3214,3,225.0,3308.82
3215,3,399.0,5391.89
3216,3,329.0,5351.33
3220,3,449.0,5612.5
3221,4,390.71,5660.0
3226,3,380.0,4810.13
3227,4,545.0,5561.22
3228,4,420.0,3925.23
3230,3,305.0,5545.45
3232,3,263.0,5977.27
3239,4,345.0,4058.82
3244,3,299.0,5230.02
3246,3,308.0,4005.2
3247,3,324.0,4764.71
3249,3,333.994,6200.0
3250,3,312.362,6050.01
3258,4,287.0,3368.54
3260,3,263.0,4235.1
3263,3,305.0,3546.51
3273,3,319.985,6150.01
3275,3,273.0,3455.7
3276,3,330.0,5076.92
3278,3,270.0,4199.07
3282,4,298.0,3973.33
3284,3,305.0,4443.47
3285,4,349.0,5369.23
3287,5,549.0,3388.89
3288,4,316.0,4976.38
3289,3,441.37800000000004,6200.0
3290,4,315.0,4632.35
3294,3,259.0,4980.77
3296,3,355.61800000000005,5660.0
3297,3,350.0,4950.5
3299,4,349.0,4684.56
3305,4,599.0,4859.65
3307,4,569.0,5035.4
3308,3,368.43300000000005,5850.0
3312,3,304.964,5800.0
3313,4,513.5,5705.56
3318,4,385.0,3774.51
3323,3,254.5,4757.01
3329,3,339.0,5321.82
3330,4,358.787,5659.99
3333,3,355.0,3944.44
3334,3,337.0,5616.67
3335,3,285.0,4318.18
3337,3,352.923,6155.99
3345,3,318.828,5904.22
3346,3,349.0,5721.31
3348,4,379.0,4119.57
3350,5,399.0,4272.86
3351,4,726.73,5497.2
3352,3,359.0,4294.26
3353,3,250.0,4464.29
3357,3,290.0,5370.37
3364,3,334.92800000000005,6050.0
3366,3,310.693,5560.0
3374,3,351.0,5571.43
3377,3,529.0,4898.15
3378,3,292.518,6050.01
3380,3,465.0,5535.71
3381,3,488.0,4000.0
3382,3,289.0,4816.67
3385,4,350.0,4619.85
3388,3,199.9,3178.06
3389,4,370.0,2983.87
3391,3,364.57300000000004,6047.99
3404,3,520.0,4905.66
3405,3,319.0,4915.25
3406,3,349.0,6122.81
3409,3,319.0,4907.69
3411,5,650.0,5752.21
3421,4,380.0,3707.32
3423,4,334.63599999999997,4588.45
3425,3,309.0,5115.89
3426,3,320.698,5924.59
3429,4,289.0,3894.88
3434,3,223.0,4551.02
3439,3,369.0,4382.42
3442,5,690.0,5000.0
3444,4,338.921,6050.0
3445,3,225.0,4787.23
3446,3,315.0,4772.73
3448,3,335.64599999999996,5609.99
3450,3,289.0,4515.62
3451,3,350.0,3516.53
3453,4,334.755,4590.09
3456,3,260.0,4333.33
3457,4,479.0,4790.0
3459,3,260.0,5416.67
3461,3,298.0,4656.25
3462,3,320.0,5161.29
3463,3,299.0,5067.8
3464,4,299.0,3986.67
3470,3,240.0,5417.61
3474,3,399.0,4336.96
3476,4,545.0,4202.0
3479,3,392.176,6102.01
3481,3,285.0,4596.77
3482,5,435.0,4350.0
3483,3,354.413,5900.0
3485,3,499.0,5657.6
3486,3,329.0,5566.84
3488,4,349.0,4716.22
3489,4,349.0,5369.23
3491,3,280.8,4500.0
3499,3,320.0,6037.74
3500,3,298.0,4656.25
3501,4,459.0,5174.16
3507,3,369.0,5783.7
3508,3,446.0,5011.24
3510,3,354.656,5660.01
3513,3,245.0,4803.92
3515,3,255.0,5334.73
3516,3,296.0,3946.67
3517,4,408.0,4294.74
3519,3,340.0,6238.53
3520,3,330.19300000000004,6100.0
3521,3,279.0,5693.88
3524,3,450.0,4398.83
3526,3,279.0,4478.33
3528,3,299.0,5059.22
3530,3,370.0,5606.06
3537,3,359.0,6189.66
3538,4,419.0,4060.08
3540,4,499.0,4892.16
3541,3,535.0,6114.29
3544,3,310.0,4776.58
3547,4,360.0,4851.75
3551,3,316.994,5810.01
3552,3,310.0,4932.38
3555,3,340.0,4255.32
3556,4,414.736,5619.73
3557,3,460.0,5897.44
3558,3,417.36199999999997,6100.0
3559,3,428.405,5750.4
3560,3,399.0,4433.33
3561,3,277.119,5859.99
3562,4,385.0,3500.0
3564,4,466.25,6250.0
3566,3,359.0,5279.41
3567,3,389.0,5893.94
3570,3,273.0,4706.9
3573,4,319.0,4253.33
3575,4,489.74,4700.0
3576,3,325.0,4113.92
3581,4,330.0,4647.89
3583,3,340.0,5097.45
3584,3,179.0,3254.55
3588,3,465.0,4773.15
3589,3,285.0,4560.0
3593,5,950.0,5889.65
3598,3,339.0,5844.83
3601,3,279.0,5812.5
3602,4,462.392,5659.63
3604,3,320.0,5194.81
3611,3,393.0,5778.56
3612,5,650.0,4088.05
3613,4,370.0,5211.27
3620,3,439.0,5701.3
3622,3,320.0,5079.37
3623,3,199.0,4234.04
3628,5,920.0,4842.11
3629,3,399.0,5399.19
3630,3,396.077,6156.0
3631,4,254.0,3396.63
3632,4,750.0,5730.88
3633,4,490.0,4117.65
3634,3,320.0,5333.33
3636,3,298.0,6208.33
3639,4,420.0,4200.0
3640,3,239.0,5085.11
3644,3,350.0,5443.23
3646,3,300.0,4769.48
3649,3,298.0,4730.16
3654,4,396.115,5760.0
3656,4,498.0,5081.63
3659,3,299.0,3863.05
3660,3,285.0,5987.39
3664,3,229.0,4320.75
3666,3,265.0,5066.92
3669,4,549.0,6100.0
3670,3,300.0,4761.9
3679,3,210.0,3888.89
3682,3,296.0,5431.19
3683,3,285.0,5937.5
3685,3,410.0,3612.33
3686,5,420.0,4038.46
3692,3,350.0,4487.18
3702,4,406.25800000000004,5789.63
3708,4,335.0,5403.23
3712,3,344.101,6100.0
3715,3,354.0,5900.0
3717,3,305.0,4855.91
3718,3,355.0,4765.1
3720,4,394.0,3387.79
3723,3,289.0,6148.94
3726,3,233.0,2262.14
3727,3,360.0,5405.41
3730,3,340.0,5238.83
3731,3,340.51800000000003,5700.0
3737,3,323.0,5981.48
3739,3,310.0,4696.97
3746,3,319.0,4791.23
3747,4,249.0,3329.77
3748,3,255.0,3863.64
3749,3,213.0,3591.91
3751,4,385.0,4583.33
3752,4,520.0,5306.12
3755,3,290.0,5471.7
3759,3,315.0,5000.0
3764,4,568.0,6061.25
3770,4,419.0,5237.5
3772,4,369.0,3948.64
3774,4,462.472,6013.94
3775,3,325.0,5327.87
3777,3,269.0,5075.47
3779,3,255.0,5391.12
3785,6,499.0,4127.38
3787,3,309.0,4753.85
3791,3,279.0,4477.61
3794,3,315.0,4921.88
3795,3,299.0,4600.0
3796,3,320.0,4210.53
3797,3,159.0,2484.38
3800,3,370.0,4731.46
3803,3,394.48699999999997,6100.0
3804,4,369.0,5013.59
3806,4,398.0,4682.35
3807,3,469.0,5257.85
3811,4,327.0,4605.63
3815,4,594.0,4569.23
3817,4,479.0,4790.0
3819,4,299.0,4607.09
3821,3,300.0,4347.83
3822,3,385.0,4873.42
3823,4,436.464,5962.62
3824,3,205.0,4963.68
3827,3,450.0,4403.13
3835,4,699.0,4368.75
3840,3,250.0,5000.0
3844,10,320.0,2370.37
3845,4,399.0,3825.5
3846,3,324.043,5710.01
3847,3,269.0,3164.71
3851,4,359.0,4838.27
3852,4,730.0,5840.93
3853,5,330.0,3000.0
3854,3,295.0,5000.0
3856,4,299.0,4052.59
3857,3,515.0,5786.52
3859,3,310.0,4769.23
3864,4,475.0,4018.61
3872,4,492.23800000000006,5858.58
3875,4,355.0,5071.43
3877,5,690.0,5036.5
3878,4,420.0,3559.32
3885,3,335.0,5000.0
3887,4,380.0,3001.58
3890,4,421.829,5650.0
3892,3,409.0,5515.85
3893,4,338.283,5610.0
3899,3,284.0,3594.94
3900,4,796.0,5896.3
3901,3,273.0,4706.9
3903,4,409.5,5250.0
3907,3,389.0,5186.67
3908,4,310.0,3875.0
3909,3,280.0,3580.56
3913,3,370.0,5606.06
3916,3,416.105,5902.2
3923,3,439.0,6013.7
3929,3,299.9,4284.29
3932,4,338.921,6050.0
3934,3,354.0,6147.97
3935,4,484.131,6206.81
3939,3,417.53,6064.34
3940,4,449.0,5056.31
3942,4,482.92199999999997,5940.0
3943,3,250.0,6250.0
3944,3,269.0,5075.47
3946,3,259.0,5340.21
3948,3,275.0,5188.68
3952,3,385.0,5686.85
3956,3,241.2,4000.0
3963,4,390.0,2997.69
3965,4,410.0,3761.47
3967,4,459.24199999999996,5931.06
3970,3,385.0,5686.85
3973,3,265.0,4121.31
3977,3,289.0,6020.83
3980,3,435.0,5958.9
3982,3,400.11,6210.0
3987,3,419.0,5371.79
3989,4,325.0,4642.86
3993,3,290.0,5471.7
3995,3,338.87699999999995,4168.23
3999,4,356.63699999999994,5660.01
4002,3,315.198,5850.0
4009,3,229.0,4053.1
4013,4,359.0,5106.69
4017,3,296.56,5965.8
4019,4,323.0,4969.23
4024,4,662.78,6200.0
4030,3,327.916,5809.99
4031,3,325.0,4113.92
4033,3,419.0,5371.79
4036,4,350.0,4605.26
4037,3,349.0,5629.03
4045,4,508.45099999999996,6027.16
4048,3,245.0,5104.17
4050,3,289.0,4446.15
4053,3,350.0,4487.18
4054,3,344.0,5504.0
4056,3,255.0,5312.5
4057,7,520.0,4333.33
4061,4,415.86,5634.96
4068,5,328.0,4539.16
4069,3,275.0,4508.2
4070,3,275.0,5140.19
4077,4,349.9,5108.03
4078,4,404.91,4950.0
4079,4,420.0,3925.23
4081,4,749.0,5761.54
4082,3,298.0,4656.25
4083,3,440.0,5365.85
4085,4,510.0,4385.59
4087,3,305.0,4621.21
4088,3,246.1,5350.0
4095,3,328.63599999999997,6050.0
4096,3,299.0,5245.61
4105,3,255.0,3984.38
4106,3,249.0,3025.52
4108,3,398.0,5913.82
4117,3,474.0,6000.0
4118,3,260.0,4905.66
4120,3,289.0,3695.65
4123,4,347.0,4714.67
4124,3,219.0,4591.19
4125,3,373.0,6216.67
4126,3,448.0,4383.56
4127,5,595.0,4294.79
4131,3,399.0,4925.93
4132,3,359.0,6084.75
4133,3,335.0,4745.04
4144,3,332.162,6150.01
4147,5,449.0,4901.75
4151,3,299.0,4746.03
4152,3,286.83099999999996,6050.01
4154,3,295.0,5673.08
4157,3,298.0,4656.25
4158,4,361.152,5760.0
4161,3,450.0,5294.12
4163,3,340.464,6150.0
4171,3,305.0,4841.27
4172,4,345.0,3108.11
4176,3,362.6,5578.46
4177,4,499.0,4193.28
4183,4,599.0,5582.48
4185,3,285.0,5937.5
4186,4,239.0,3229.73
4195,3,375.63,5700.0
4202,5,530.0,5698.92
4205,3,396.0,5507.65
4207,3,345.0,6052.63
4209,3,295.0,4609.38
4212,3,439.0,3990.91
4213,3,299.0,5059.22
4214,4,369.0,4612.5
4216,3,345.0,4799.67
4217,3,300.0,5008.35
4221,4,438.525,4968.0
4222,3,334.509,4955.69
4223,5,595.0,4407.41
4224,3,325.0,5078.12
4225,4,670.0,5214.01
4227,3,330.0,5076.92
4230,3,315.0,4921.88
4231,3,199.0,3618.18
4233,4,395.0,3910.89
4234,3,281.313,6250.01
4235,3,298.0,4806.45
4236,3,364.695,6150.0
4237,3,324.0,4984.62
4242,3,269.0,4138.46
4243,3,323.91700000000003,6050.0
4244,3,390.0,4148.94
4247,3,325.0,5000.0
4255,3,298.526,5800.0
4257,3,274.994,5959.99
4259,3,278.0,4149.25
4261,3,319.0,5104.82
4268,3,388.369,5753.61
4270,3,265.0,4140.62
4273,3,439.154,5659.2
4274,4,416.5,5000.0
4277,3,430.0,5582.97
4278,3,370.0,4021.74
4279,4,450.0,5625.0
4290,3,312.442,6100.0
4299,4,477.36300000000006,5844.31
4300,3,343.0,5444.44
4306,3,295.0,4609.38
4311,3,358.765,6050.0
4313,3,295.068,5965.79
4316,5,470.0,3615.38
4317,4,455.0,5129.65
4324,3,424.85900000000004,5900.82
4328,4,330.0,5084.75
4333,3,337.0,5711.86
4336,3,299.0,3737.5
4338,3,347.875,6102.0
4340,3,400.0,5780.35
4342,4,217.7,2963.11
4345,5,800.0,5594.41
4346,4,319.0,3467.39
4347,3,560.0,5338.42
4348,3,280.0,5833.33
4350,4,380.0,3570.76
4351,3,352.691,5924.59
4353,3,274.0,4469.82
4356,3,279.0,5264.15
4358,3,325.0,5000.0
4359,3,347.645,5750.0
4361,3,390.0,5131.58
4362,4,350.0,3500.0
4363,4,330.0,4583.33
4365,3,350.0,5384.62
4366,3,319.0,4310.81
4369,4,318.0,4892.31
4372,3,350.0,4487.18
4376,3,337.0,5590.58
4379,3,404.0,5184.8
4380,4,470.0,4122.81
4385,4,450.0,5294.12
4388,4,370.0,3854.17
4390,5,328.0,4539.16
4391,3,325.0,5327.87
4392,3,325.0,5241.94
4394,3,315.0,5348.05
4395,3,311.76599999999996,5710.0
4402,3,365.0,3318.18
4403,3,311.76599999999996,5710.0
4407,4,349.0,4894.81
4410,4,314.0,4485.71
4411,3,343.04,5082.83
4414,3,325.0,5000.0
4418,3,289.0,4188.41
4419,3,344.0,5504.0
4421,4,470.0,4757.09
4422,3,278.0,4633.33
4429,3,285.0,5377.36
4430,3,385.0,5065.79
4434,3,250.0,5208.33
4436,3,360.0,5950.41
4439,3,350.0,4521.96
4442,3,289.0,4632.15
4444,3,335.0,5714.77
4445,3,279.0,5936.17
4447,4,450.0,5421.69
4450,3,399.0,4483.15
4451,4,372.0,2861.54
4452,3,338.0,4327.78
4457,3,289.0,4819.08
4461,3,325.0,5007.7
4462,3,299.0,4746.03
4467,3,315.0,4846.15
4473,3,379.0,3867.35
4476,3,350.0,3500.0
4479,3,550.0,5461.77
4480,4,399.0,5000.0
4483,3,360.0,4424.78
4486,3,315.0,3982.3
4487,3,308.94,6000.0
4488,3,282.686,5859.99
4492,3,308.611,5965.8
4494,5,690.0,5043.86
4495,3,455.0,4008.81
4496,5,800.0,5594.41
